max_number,min_number,average_number,max_length,min_length,average_length
118567292574914,0,6069427903878,88,2,15
118567292574914,0,13949575416966,88,2,14
118567292581914,0,5657959886426,87,2,15
118607028740865,0,11296084021681,88,2,14
118607030789145,0,2829943752471,88,1,14
118607590105062,0,11296053304042,87,2,14
118607653056369,0,11296059108924,87,2,14
118607745525042,0,11296067915463,88,2,14
118607745532042,0,5528278335584,88,2,15
118607745532042,0,13954335285426,88,2,14
118609468685639,0,11296878882659,88,2,14
118609468685639,0,13954538101728,88,2,14
118625984647254,0,11303551957247,88,2,14
118629210186891,0,11298252810034,88,2,14
118629210186891,0,13956860848926,88,2,14
118787756093891,0,11313212159622,88,2,14
118833319246242,0,11331919929910,87,2,14
118833319246242,0,13980873885313,88,2,14
118833319253242,0,5670944570218,88,2,15
118833321301522,0,2869652554056,88,1,14
118833321301522,0,13980874212989,88,2,14
118840601589777,0,11322113125629,87,2,14
118840601596777,0,5809687146765,87,2,15
118840601596777,0,5809687146765,87,2,15
118840601603777,0,5671370407852,88,2,15
118840601610777,0,5539566445248,88,2,15
118840601617777,0,5539566910645,88,2,15
118843539561721,0,11318524684572,88,2,14
118843539568721,0,5810604525462,87,2,15
118843633820296,0,11318616123973,88,2,14
118843633820296,0,13982087789888,88,2,14
118844333727296,0,11318600125163,87,2,14
118844667397904,0,11318654073770,88,2,14
118844667404904,0,5671948441000,88,2,15
118844747382497,0,11318639711363,88,2,14
118852305431764,0,11319359525577,88,2,14
118856908007327,0,11320519335115,88,2,14
118856908007327,0,13983649827749,88,2,14
118856908007327,0,13983649895391,88,2,14
118857407914327,0,11323474094012,88,2,14
118859346846160,0,11320030136458,88,2,14
118862445725529,0,11320325077350,88,2,14
118862445725529,0,13984301574584,88,2,14
118862445725529,0,13984301631053,88,2,14
118864274031416,0,11320499296326,87,2,14
118864274031416,0,13984516868212,87,2,14
118880162185858,0,11326246184915,88,2,14
118880162192858,0,5673643707988,88,2,15
118880162199858,0,5812020732945,88,2,15
118895290244471,0,11323453317241,87,2,14
145393782525789,0,12585654954351,88,2,15
118895290258471,0,5674359516363,87,2,15
118897786324696,0,11323769960005,88,2,14
118900098846127,0,11323985307794,88,2,14
118900098846127,0,13988731911693,88,2,14
118900098846127,0,13988731932869,88,2,14
118901455157138,0,11324041496160,88,2,14
118903268644444,0,11324213168587,88,2,14
118906686476605,0,11324863145147,88,2,14
118914615722019,0,11325319781261,88,2,14
118914615729019,0,5675152836112,88,2,15
118914615729019,0,13990440547297,87,2,14
118914615729019,0,13990440572002,88,2,14
118914615736019,0,5676883189162,87,2,15
118914726170500,0,11325304302577,88,2,14
118914776199136,0,11325308931929,88,2,14
118914776206136,0,5815375525595,87,2,15
118914776213136,0,5815375525933,88,2,15
118915276164090,0,11325359048038,88,2,14
118915276171090,0,5544914065397,88,2,15
118915276178090,0,5676940353040,88,2,15
118915276185090,0,5676940599539,88,2,15
118915276185090,0,13990519581489,88,2,14
118916062712681,0,11325810938237,87,2,14
118923987691727,0,11326193075144,87,2,14
118923989740007,0,2838654366832,87,1,14
118923989740007,0,13991544991466,88,2,14
118923989747007,0,5677274042964,87,2,15
118923989747007,0,13991545046405,87,2,14
