max_number,min_number,average_number,max_length,min_length,average_length,time,fee,sender
115245543966993,0,10976915627766,88,2,14,1701553890,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115245543966993,0,13558775806288,88,2,14,1701553885,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
115245543966993,0,13558775812758,87,2,14,1701553885,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
115261225800177,0,10977386251045,88,2,14,1701553866,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115261700904176,0,10977396999409,88,2,14,1701553857,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115261702952456,0,2749732450954,88,1,14,1701553856,9000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115261702952456,0,13560677038687,88,2,14,1701553841,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
115261705000736,0,2783104162747,88,1,14,1701553832,9000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115268268222110,0,10978022458254,88,2,14,1701553817,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115268270270390,0,2783261074274,88,1,14,1701553814,9000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115268272318670,0,2783262274645,88,1,14,1701553812,9000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115283272325670,0,10979586676546,88,2,14,1701553808,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115283272325670,0,13563214827292,88,2,14,1701553794,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
115283272332670,0,5500936315177,88,2,15,1701553785,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115316741339591,0,10982816506247,87,2,14,1701553776,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115316741339591,0,13567152468337,88,2,14,1701553770,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
115316743387871,0,2784430612273,87,1,14,1701553768,9000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
